Jun 11 2021 23:47:46 FW00 : %ASA-4-400010: IPS:2000 ICMP Echo Reply 155.45.129.14 to 51.130.22.93 on interface GigabitEthernet0/3	 Anomaly
Jun 11 2021 23:49:31 FW18 : %ASA-1-101001: (Primary) Failover cable OK.	 Not anomaly
Jun 11 2021 23:49:31 FW22 : %ASA-6-302003: Built H245 connection for foreign_address 197.58.222.195/16603 local_address 192.168.6.72 /12235	 Anomaly
Jun 11 2021 23:49:32 FW10 : %ASA-4-400047: IPS:6155 mountd (mount daemon) Portmap Request 104.5.182.50 to 209.60.93.39 on interface GigabitEthernet0/1	 Not anomaly
Jun 11 2021 23:49:32 FW09 : %ASA-1-104500: (Secondary) Switching to ACTIVE (cause: reason)	 Anomaly
Jun 11 2021 23:49:32 FW04 : %ASA-4-401001: Shuns cleared	 Not anomaly
Jun 11 2021 23:49:32 FW00 : %ASA-4-400000: IPS:1000 IP options-Bad Option List from 35.187.36.182 to 12.82.9.72 on interface GigabitEthernet0/0	 Not anomaly
Jun 11 2021 23:49:32 FW20 : %ASA-4-400047: IPS:6155 mountd (mount daemon) Portmap Request 92.176.116.163 to 2.193.33.214 on interface GigabitEthernet0/1	 Not anomaly
Jun 11 2021 23:49:32 FW20 : %ASA-4-400013: IPS:2003 ICMP Redirect 18.223.117.155 to 36.208.69.124 on interface GigabitEthernet0/2	 Not anomaly
Jun 11 2021 23:49:33 FW22 : %ASA-4-400012: IPS:2002 ICMP Source Quench 109.244.235.22 to 42.37.132.139 on interface GigabitEthernet0/1	 Not anomaly
Jun 11 2021 23:49:33 FW18 : %ASA-3-318107: OSPF is enabled on GigabitEthernet0/0 during idb initialization	 Not anomaly
Jun 11 2021 23:49:33 FW03 : %ASA-4-400037: IPS:6053 DNS Request for All Records 128.24.13.120 to 187.96.163.134 on interface GigabitEthernet0/5	 Not anomaly
Jun 11 2021 23:49:33 FW22 : %ASA-6-109001: Auth start for user user20 from 10.71.194.211/42875 to 103.204.221.154/8521	 Not anomaly
Jun 11 2021 23:49:34 FW18 : %ASA-6-611101: User authentication succeeded: IP, 136.117.176.131 : Uname: user8	 Not anomaly
Jun 11 2021 23:49:34 FW00 : %ASA-6-302003: Built H245 connection for foreign_address 163.252.130.137/47357 local_address 192.168.208.189 /22715	 Anomaly
Jun 11 2021 23:49:34 FW25 : %ASA-4-400005: IPS:1005 IP options-SATNET ID 163.166.239.243 to 165.133.221.74 on interface GigabitEthernet0/0	 Not anomaly
Jun 11 2021 23:49:34 FW22 : %ASA-6-605005: Login permitted from 140.255.187.163/37337 to GigabitEthernet0/3:145.121.12.252/NTP for user user8	 Anomaly
Jun 11 2021 23:49:35 FW22 : %ASA-4-400033: IPS:4052 UDP Chargen DoS attack from 208.176.92.231 to 73.127.22.58 on interface GigabitEthernet0/5	 Anomaly
Jun 11 2021 23:49:35 FW12 : %ASA-6-109005: Authentication succeeded for user user14 from 10.61.50.56/21086 to 42.197.250.187/34062 on interface GigabitEthernet0/4.	 Not anomaly
Jun 11 2021 23:49:35 FW22 : %ASA-4-400000: IPS:1000 IP options-Bad Option List from 84.21.221.9 to 124.153.79.65 on interface GigabitEthernet0/0	 Not anomaly
Jun 11 2021 23:49:35 FW21 : %ASA-3-318107: OSPF is enabled on GigabitEthernet0/2 during idb initialization	 Not anomaly
Jun 11 2021 23:49:35 FW09 : %ASA-6-109001: Auth start for user user1 from 172.17.68.84/9242 to 110.93.250.94/46609	 Not anomaly
Jun 11 2021 23:49:36 FW05 : %ASA-4-400015: IPS:2005 ICMP Time Exceeded for a Datagram 99.62.130.169 to 125.80.101.85 on interface GigabitEthernet0/1	 Not anomaly
Jun 11 2021 23:49:36 FW00 : %ASA-4-400017: IPS:2007 ICMP Timestamp Request 69.142.8.225 to 170.239.50.95 on interface GigabitEthernet0/0	 Not anomaly
Jun 11 2021 23:49:36 FW24 : %ASA-3-212003: Unable to receive an SNMP request on interface GigabitEthernet0/0 , error code = Not responding , will try again.	 Anomaly
Jun 11 2021 23:49:36 FW16 : %ASA-4-507002: Data copy in proxy-mode exceeded the buffer limit	 Anomaly
Jun 11 2021 23:49:36 FW07 : %ASA-4-400015: IPS:2005 ICMP Time Exceeded for a Datagram 26.95.95.6 to 57.0.172.125 on interface GigabitEthernet0/4	 Not anomaly
Jun 11 2021 23:49:37 FW01 : %ASA-4-400036: IPS:6052 DNS Zone Transfer from High Port 140.240.182.63 to 86.224.230.14 on interface GigabitEthernet0/4	 Not anomaly
Jun 11 2021 23:49:37 FW07 : %ASA-4-400037: IPS:6053 DNS Request for All Records 8.98.27.16 to 27.65.188.36 on interface GigabitEthernet0/3	 Not anomaly
Jun 11 2021 23:49:37 FW14 : %ASA-3-212003: Unable to receive an SNMP request on interface GigabitEthernet0/4 , error code = Not responding , will try again.	 Anomaly
Jun 11 2021 23:49:37 FW15 : %ASA-7-718021: Sent KEEPALIVE response to 170.211.16.206	 Not anomaly
Jun 11 2021 23:49:37 FW22 : %ASA-1-104500: (Primary) Switching to ACTIVE (cause: reason)	 Anomaly
Jun 11 2021 23:49:37 FW12 : %ASA-6-302003: Built H245 connection for foreign_address 108.109.11.50/41410 local_address 172.27.69.172 /7446	 Anomaly
Jun 11 2021 23:49:38 FW21 : %ASA-4-400049: IPS:6180 rexd (remote execution daemon) Attempt 126.231.151.116 to 219.179.107.109 on interface GigabitEthernet0/5	 Not anomaly
Jun 11 2021 23:49:38 FW12 : %ASA-4-400006: IPS:1006 IP options-Strict Source Route 181.40.127.225 to 95.216.77.19 on interface GigabitEthernet0/3	 Not anomaly
Jun 11 2021 23:49:38 FW08 : %ASA-4-400034: IPS:6050 DNS HINFO Request 23.30.191.138 to 216.36.40.161 on interface GigabitEthernet0/3	 Not anomaly
Jun 11 2021 23:49:38 FW22 : %ASA-1-104500: (Secondary) Switching to ACTIVE (cause: reason)	 Anomaly
Jun 11 2021 23:49:38 FW23 : %ASA-4-400047: IPS:6155 mountd (mount daemon) Portmap Request 213.203.38.21 to 184.202.94.118 on interface GigabitEthernet0/1	 Not anomaly
Jun 11 2021 23:49:39 FW01 : %ASA-5-718010: Sent HELLO response to 212.235.103.205	 Not anomaly
Jun 11 2021 23:49:39 FW18 : %ASA-6-302003: Built H245 connection for foreign_address 203.40.138.152/62481 local_address 172.29.112.19 /8142	 Anomaly
Jun 11 2021 23:49:39 FW01 : %ASA-3-304003: URL Server 166.1.171.200 timed out URL https://www.reid-allen.com/	 Not anomaly
Jun 11 2021 23:49:39 FW25 : %ASA-4-401001: Shuns cleared	 Not anomaly
Jun 11 2021 23:49:39 FW22 : %ASA-4-400013: IPS:2003 ICMP Redirect 29.193.243.246 to 40.108.218.48 on interface GigabitEthernet0/4	 Not anomaly
Jun 11 2021 23:49:40 FW12 : %ASA-4-733100: Interface drop rate 1 exceeded. Current burst rate is 1 per second, max configured rate is 8000 ; Current average rate is 2040 per second, max configured rate is 2000 ; Cumulative total count is 3930654	 Anomaly
Jun 11 2021 23:49:40 FW11 : %ASA-7-713164: The Firewall Server has requested a list of active user sessions	 Not anomaly
Jun 11 2021 23:49:40 FW21 : %ASA-3-319001: Acknowledge for arp update for IP address 182.241.157.56 not received.	 Not anomaly
Jun 11 2021 23:49:40 FW09 : %ASA-4-400010: IPS:2000 ICMP Echo Reply 209.145.81.76 to 10.56.104.188 on interface GigabitEthernet0/2	 Anomaly
Jun 11 2021 23:49:40 FW03 : %ASA-4-400045: IPS:6153 ypupdated (YP update daemon) Portmap Request 195.187.123.101 to 153.108.230.135 on interface GigabitEthernet0/2	 Not anomaly
Jun 11 2021 23:49:40 FW11 : %ASA-4-400016: IPS:2006 ICMP Parameter Problem on Datagram 13.222.218.29 to 80.186.220.227 on interface GigabitEthernet0/0	 Not anomaly
Jun 11 2021 23:49:41 FW25 : %ASA-4-400013: IPS:2003 ICMP Redirect 135.35.32.160 to 118.194.254.207 on interface GigabitEthernet0/4	 Not anomaly
Jun 11 2021 23:49:41 FW08 : %ASA-5-713155: DNS lookup for Primary VPN Server vpn_concentrator successfully resolved after a previous failure. Resetting any Backup Server init.	 Not anomaly
Jun 11 2021 23:49:41 FW15 : %ASA-7-710002: UDP access permitted from 89.47.131.107/39486 to GigabitEthernet0/0:10.113.15.10/DHCP	 Not anomaly
Jun 11 2021 23:49:41 FW05 : %ASA-3-304003: URL Server 171.43.19.193 timed out URL https://estrada.com/	 Not anomaly
Jun 11 2021 23:49:42 FW08 : %ASA-4-400046: IPS:6154 ypxfrd (YP transfer daemon) Portmap Request 138.65.165.123 to 161.45.2.220 on interface GigabitEthernet0/5	 Not anomaly
Jun 11 2021 23:49:42 FW25 : %ASA-7-713164: The Firewall Server has requested a list of active user sessions	 Not anomaly
Jun 11 2021 23:49:42 FW18 : %ASA-7-713052: User user2 authenticated.	 Not anomaly
Jun 11 2021 23:49:42 FW14 : %ASA-4-733105: TD_SYSLOG_TCP_INTERCEPT_BURST_RATE_EXCEED	 Not anomaly
Jun 11 2021 23:49:42 FW13 : %ASA-7-713052: User user5 authenticated.	 Not anomaly
Jun 11 2021 23:49:42 FW19 : %ASA-4-400015: IPS:2005 ICMP Time Exceeded for a Datagram 92.60.100.124 to 125.172.189.124 on interface GigabitEthernet0/1	 Not anomaly
Jun 11 2021 23:49:42 FW14 : %ASA-4-400039: IPS:6101 RPC Port Unregistration 198.163.61.190 to 143.162.237.42 on interface GigabitEthernet0/4	 Not anomaly
Jun 11 2021 23:49:42 FW19 : %ASA-7-713164: The Firewall Server has requested a list of active user sessions	 Not anomaly
Jun 11 2021 23:49:42 FW06 : %ASA-4-400000: IPS:1000 IP options-Bad Option List from 19.73.206.235 to 161.161.236.201 on interface GigabitEthernet0/1	 Not anomaly
Jun 11 2021 23:49:43 FW06 : %ASA-5-713155: DNS lookup for Primary VPN Server vpn_concentrator successfully resolved after a previous failure. Resetting any Backup Server init.	 Not anomaly
Jun 11 2021 23:49:43 FW01 : %ASA-1-104500: (Secondary) Switching to ACTIVE (cause: reason)	 Anomaly
Jun 11 2021 23:49:43 FW25 : %ASA-4-400036: IPS:6052 DNS Zone Transfer from High Port 167.109.0.248 to 29.128.185.207 on interface GigabitEthernet0/3	 Not anomaly
Jun 11 2021 23:49:43 FW20 : %ASA-2-108003: Terminating ESMTP connection; malicious pattern detected in the mail address from GigabitEthernet0/4:123.148.146.170/60834 to GigabitEthernet0/0:53.60.250.251/36083.	 Anomaly
Jun 11 2021 23:49:43 FW00 : %ASA-7-718021: Sent KEEPALIVE response to 66.189.10.179	 Not anomaly
Jun 11 2021 23:49:43 FW12 : %ASA-7-718023: Received KEEPALIVE response from 107.201.254.223	 Not anomaly
Jun 11 2021 23:49:44 FW19 : %ASA-4-400034: IPS:6050 DNS HINFO Request 84.76.236.73 to 2.169.72.79 on interface GigabitEthernet0/3	 Not anomaly
Jun 11 2021 23:49:44 FW20 : %ASA-4-400006: IPS:1006 IP options-Strict Source Route 219.183.88.116 to 193.137.170.4 on interface GigabitEthernet0/3	 Not anomaly
Jun 11 2021 23:49:44 FW16 : %ASA-4-400039: IPS:6101 RPC Port Unregistration 99.161.32.215 to 9.148.78.252 on interface GigabitEthernet0/3	 Not anomaly
Jun 11 2021 23:49:44 FW14 : %ASA-4-400046: IPS:6154 ypxfrd (YP transfer daemon) Portmap Request 173.10.158.129 to 149.95.9.46 on interface GigabitEthernet0/1	 Not anomaly
Jun 11 2021 23:49:45 FW00 : %ASA-1-101001: (Primary) Failover cable OK.	 Not anomaly
Jun 11 2021 23:49:45 FW19 : %ASA-4-400004: IPS:1004 IP options-Loose Source Route 177.84.100.243 to 120.198.195.18 on interface GigabitEthernet0/0	 Not anomaly
Jun 11 2021 23:49:45 FW23 : %ASA-4-400020: IPS:2010 ICMP Information Reply 71.168.4.15 to 85.79.132.14 on interface GigabitEthernet0/4	 Not anomaly
Jun 11 2021 23:49:45 FW06 : %ASA-4-400004: IPS:1004 IP options-Loose Source Route 151.80.242.38 to 126.61.53.28 on interface GigabitEthernet0/5	 Not anomaly
Jun 11 2021 23:49:46 FW21 : %ASA-6-605005: Login permitted from 106.92.217.104/7263 to GigabitEthernet0/1:158.77.125.219/NTP for user user7	 Anomaly
Jun 11 2021 23:49:46 FW25 : %ASA-6-303002: FTP connection from GigabitEthernet0/4:32.135.149.50/32393 to GigabitEthernet0/5: 133.0.64.42/18590 , user user2 action file filename	 Anomaly
Jun 11 2021 23:49:46 FW10 : %ASA-4-400004: IPS:1004 IP options-Loose Source Route 174.228.214.32 to 195.33.22.157 on interface GigabitEthernet0/0	 Not anomaly
Jun 11 2021 23:49:46 FW12 : %ASA-4-716022: Unable to connect to proxy server.	 Not anomaly
Jun 11 2021 23:49:46 FW08 : %ASA-1-104502: (Primary) Becoming Backup unit failed.	 Not anomaly
Jun 11 2021 23:49:46 FW20 : %ASA-4-400004: IPS:1004 IP options-Loose Source Route 191.58.125.149 to 215.127.89.57 on interface GigabitEthernet0/3	 Not anomaly
Jun 11 2021 23:49:47 FW09 : %ASA-7-710002: UDP access permitted from 203.146.221.53/2682 to GigabitEthernet0/1:36.89.134.125/SMTP	 Not anomaly
Jun 11 2021 23:49:47 FW00 : %ASA-4-400017: IPS:2007 ICMP Timestamp Request 99.246.212.228 to 99.249.93.204 on interface GigabitEthernet0/0	 Not anomaly
Jun 11 2021 23:49:47 FW11 : %ASA-7-713052: User user1 authenticated.	 Not anomaly
Jun 11 2021 23:49:47 FW11 : %ASA-4-400015: IPS:2005 ICMP Time Exceeded for a Datagram 131.91.87.224 to 120.141.225.5 on interface GigabitEthernet0/2	 Not anomaly
Jun 11 2021 23:49:48 FW03 : %ASA-4-400049: IPS:6180 rexd (remote execution daemon) Attempt 125.205.62.132 to 220.212.129.177 on interface GigabitEthernet0/0	 Not anomaly
Jun 11 2021 23:49:48 FW21 : %ASA-4-400004: IPS:1004 IP options-Loose Source Route 124.198.236.243 to 211.157.180.212 on interface GigabitEthernet0/0	 Not anomaly
Jun 11 2021 23:49:48 FW19 : %ASA-4-400039: IPS:6101 RPC Port Unregistration 101.90.88.210 to 222.181.125.24 on interface GigabitEthernet0/1	 Not anomaly
Jun 11 2021 23:49:48 FW21 : %ASA-4-400004: IPS:1004 IP options-Loose Source Route 194.100.186.62 to 99.157.158.114 on interface GigabitEthernet0/0	 Not anomaly
Jun 11 2021 23:49:49 FW08 : %ASA-3-304003: URL Server 52.126.81.85 timed out URL http://www.melton.biz/	 Not anomaly
Jun 11 2021 23:49:49 FW03 : %ASA-4-400046: IPS:6154 ypxfrd (YP transfer daemon) Portmap Request 194.242.147.23 to 126.200.16.250 on interface GigabitEthernet0/0	 Not anomaly
Jun 11 2021 23:49:49 FW09 : %ASA-3-318109: OSPFv3 has received an unexpected message	 Not anomaly
Jun 11 2021 23:49:49 FW16 : %ASA-4-400042: IPS:6150 ypserv (YP server daemon) Portmap Request 114.48.20.199 to 97.149.40.110 on interface GigabitEthernet0/5	 Not anomaly
Jun 11 2021 23:49:50 FW16 : %ASA-4-400039: IPS:6101 RPC Port Unregistration 105.26.5.241 to 89.84.220.136 on interface GigabitEthernet0/1	 Not anomaly
Jun 11 2021 23:49:50 FW18 : %ASA-4-400015: IPS:2005 ICMP Time Exceeded for a Datagram 129.243.160.68 to 196.16.145.6 on interface GigabitEthernet0/4	 Not anomaly
Jun 11 2021 23:49:50 FW15 : %ASA-4-400037: IPS:6053 DNS Request for All Records 157.73.76.235 to 30.56.237.133 on interface GigabitEthernet0/3	 Not anomaly
Jun 11 2021 23:49:50 FW02 : %ASA-4-400049: IPS:6180 rexd (remote execution daemon) Attempt 114.232.23.182 to 31.118.31.1 on interface GigabitEthernet0/4	 Not anomaly
Jun 11 2021 23:49:51 FW06 : %ASA-4-716022: Unable to connect to proxy server.	 Not anomaly
Jun 11 2021 23:49:51 FW10 : %ASA-4-400004: IPS:1004 IP options-Loose Source Route 136.37.1.101 to 41.214.209.36 on interface GigabitEthernet0/3	 Not anomaly
Jun 11 2021 23:49:51 FW25 : %ASA-4-733102: Threat-detection adds host 163.112.47.49 to shun list	 Anomaly
Jun 11 2021 23:49:51 FW03 : %ASA-4-400021: IPS:2011 ICMP Address Mask Request 39.15.170.123 to 52.159.175.155 on interface GigabitEthernet0/5	 Not anomaly
Jun 11 2021 23:49:51 FW22 : %ASA-4-400045: IPS:6153 ypupdated (YP update daemon) Portmap Request 57.210.227.192 to 205.57.231.183 on interface GigabitEthernet0/2	 Not anomaly
Jun 11 2021 23:49:52 FW17 : %ASA-7-713164: The Firewall Server has requested a list of active user sessions	 Not anomaly
Jun 11 2021 23:49:52 FW25 : %ASA-7-710002: UDP access permitted from 106.133.18.68/59236 to GigabitEthernet0/0:114.136.1.181/SMTP	 Not anomaly
Jun 11 2021 23:49:52 FW18 : %ASA-5-718010: Sent HELLO response to 148.51.31.236	 Not anomaly
Jun 11 2021 23:49:52 FW01 : %ASA-4-400022: IPS:2012 ICMP Address Mask Reply 8.213.162.202 to 81.227.123.152 on interface GigabitEthernet0/1	 Not anomaly
Jun 11 2021 23:49:53 FW10 : %ASA-6-303002: FTP connection from GigabitEthernet0/3:139.208.136.116/23953 to GigabitEthernet0/3: 131.175.183.229/12655 , user user20 action file filename	 Anomaly
Jun 11 2021 23:49:53 FW15 : %ASA-4-733100: ICMP attack drop rate 1 exceeded. Current burst rate is 548 per second, max configured rate is 0 ; Current average rate is 1453 per second, max configured rate is 10 ; Cumulative total count is 7565876	 Anomaly
Jun 11 2021 23:49:53 FW17 : %ASA-4-400036: IPS:6052 DNS Zone Transfer from High Port 31.46.127.111 to 220.73.97.222 on interface GigabitEthernet0/5	 Not anomaly
Jun 11 2021 23:49:53 FW16 : %ASA-4-400016: IPS:2006 ICMP Parameter Problem on Datagram 89.254.93.120 to 119.58.29.183 on interface GigabitEthernet0/1	 Not anomaly
Jun 11 2021 23:49:53 FW16 : %ASA-4-400021: IPS:2011 ICMP Address Mask Request 158.9.36.113 to 38.197.234.201 on interface GigabitEthernet0/4	 Not anomaly
Jun 11 2021 23:49:54 FW00 : %ASA-4-411004: Configuration status on interface GigabitEthernet0/3 changed state to up	 Not anomaly
Jun 11 2021 23:49:54 FW15 : %ASA-5-611103: User logged out: Uname: user10	 Not anomaly
Jun 11 2021 23:49:54 FW22 : %ASA-4-400012: IPS:2002 ICMP Source Quench 168.199.222.119 to 201.178.164.113 on interface GigabitEthernet0/4	 Not anomaly
Jun 11 2021 23:49:54 FW22 : %ASA-4-411001: Line protocol on interface GigabitEthernet0/0 changed state to up	 Anomaly
Jun 11 2021 23:49:54 FW01 : %ASA-6-605005: Login permitted from 185.118.254.177/9602 to GigabitEthernet0/2:198.121.178.198/SMTP for user user5	 Anomaly
Jun 11 2021 23:49:54 FW09 : %ASA-4-400040: IPS:6102 RPC Dump 109.24.218.191 to 83.16.158.58 on interface GigabitEthernet0/3	 Not anomaly
Jun 11 2021 23:49:55 FW18 : %ASA-6-611101: User authentication succeeded: IP, 74.175.122.30 : Uname: user4	 Not anomaly
Jun 11 2021 23:49:55 FW23 : %ASA-4-400017: IPS:2007 ICMP Timestamp Request 33.245.98.163 to 97.190.254.69 on interface GigabitEthernet0/2	 Not anomaly
Jun 11 2021 23:49:55 FW09 : %ASA-4-400000: IPS:1000 IP options-Bad Option List from 87.37.189.182 to 27.115.101.169 on interface GigabitEthernet0/3	 Not anomaly
Jun 11 2021 23:49:55 FW16 : %ASA-7-718023: Received KEEPALIVE response from 85.73.191.101	 Not anomaly
Jun 11 2021 23:49:56 FW00 : %ASA-4-400040: IPS:6102 RPC Dump 178.252.237.223 to 19.208.189.42 on interface GigabitEthernet0/0	 Not anomaly
Jun 11 2021 23:49:56 FW15 : %ASA-1-104502: (Primary) Becoming Backup unit failed.	 Not anomaly
Jun 11 2021 23:49:56 FW21 : %ASA-4-400037: IPS:6053 DNS Request for All Records 30.244.247.116 to 181.114.212.156 on interface GigabitEthernet0/0	 Not anomaly
Jun 11 2021 23:49:56 FW00 : %ASA-2-201003: Embryonic limit exceeded 748/500 for 210.236.225.125/1907 8.8.8.8 10.227.165.21/23278 on interface GigabitEthernet0/4.	 Not anomaly
Jun 11 2021 23:49:56 FW12 : %ASA-4-400013: IPS:2003 ICMP Redirect 21.166.58.58 to 17.220.80.238 on interface GigabitEthernet0/1	 Not anomaly
Jun 11 2021 23:49:57 FW14 : %ASA-3-318107: OSPF is enabled on GigabitEthernet0/1 during idb initialization	 Not anomaly
Jun 11 2021 23:49:57 FW16 : %ASA-4-400039: IPS:6101 RPC Port Unregistration 51.146.196.215 to 202.15.201.117 on interface GigabitEthernet0/3	 Not anomaly
Jun 11 2021 23:49:57 FW19 : %ASA-4-400022: IPS:2012 ICMP Address Mask Reply 19.230.250.229 to 198.2.8.229 on interface GigabitEthernet0/2	 Not anomaly
Jun 11 2021 23:49:57 FW18 : %ASA-5-713155: DNS lookup for Primary VPN Server vpn_concentrator successfully resolved after a previous failure. Resetting any Backup Server init.	 Not anomaly
Jun 11 2021 23:49:57 FW15 : %ASA-4-400010: IPS:2000 ICMP Echo Reply 1.109.53.239 to 100.176.10.153 on interface GigabitEthernet0/1	 Anomaly
Jun 11 2021 23:49:58 FW09 : %ASA-1-104500: (Primary) Switching to ACTIVE (cause: reason)	 Anomaly
Jun 11 2021 23:49:58 FW09 : %ASA-4-400049: IPS:6180 rexd (remote execution daemon) Attempt 213.238.211.43 to 181.81.8.231 on interface GigabitEthernet0/0	 Not anomaly
Jun 11 2021 23:49:58 FW14 : %ASA-4-400012: IPS:2002 ICMP Source Quench 184.207.163.128 to 171.102.130.139 on interface GigabitEthernet0/4	 Not anomaly
Jun 11 2021 23:49:58 FW07 : %ASA-4-400034: IPS:6050 DNS HINFO Request 56.138.92.94 to 217.192.216.152 on interface GigabitEthernet0/0	 Not anomaly
Jun 11 2021 23:49:58 FW09 : %ASA-4-400046: IPS:6154 ypxfrd (YP transfer daemon) Portmap Request 137.13.143.8 to 145.65.14.14 on interface GigabitEthernet0/5	 Not anomaly
Jun 11 2021 23:49:59 FW09 : %ASA-7-710002: UDP access permitted from 160.123.249.152/7610 to GigabitEthernet0/0:18.107.149.102/SMTP	 Not anomaly
Jun 11 2021 23:49:59 FW07 : %ASA-4-400042: IPS:6150 ypserv (YP server daemon) Portmap Request 18.59.215.183 to 52.128.193.248 on interface GigabitEthernet0/4	 Not anomaly
Jun 11 2021 23:49:59 FW08 : %ASA-4-400015: IPS:2005 ICMP Time Exceeded for a Datagram 159.82.54.145 to 1.150.12.6 on interface GigabitEthernet0/5	 Not anomaly
Jun 11 2021 23:50:00 FW22 : %ASA-3-304003: URL Server 55.252.129.165 timed out URL https://www.carr.net/	 Not anomaly
Jun 11 2021 23:50:00 FW21 : %ASA-4-400040: IPS:6102 RPC Dump 14.17.10.122 to 169.207.20.209 on interface GigabitEthernet0/0	 Not anomaly
Jun 11 2021 23:50:00 FW08 : %ASA-6-302003: Built H245 connection for foreign_address 27.80.253.210/22789 local_address 192.168.57.5 /41502	 Anomaly
Jun 11 2021 23:50:00 FW05 : %ASA-4-411001: Line protocol on interface GigabitEthernet0/0 changed state to up	 Anomaly
Jun 11 2021 23:50:00 FW25 : %ASA-4-733105: TD_SYSLOG_TCP_INTERCEPT_BURST_RATE_EXCEED	 Not anomaly
Jun 11 2021 23:50:00 FW21 : %ASA-6-109001: Auth start for user user1 from 10.75.11.150/51188 to 142.156.251.218/1440	 Not anomaly
Jun 11 2021 23:50:01 FW20 : %ASA-4-400006: IPS:1006 IP options-Strict Source Route 113.76.100.211 to 222.144.189.224 on interface GigabitEthernet0/0	 Not anomaly
Jun 11 2021 23:50:01 FW18 : %ASA-5-718016: Received HELLO response from 216.153.58.137	 Not anomaly
Jun 11 2021 23:50:01 FW25 : %ASA-4-400045: IPS:6153 ypupdated (YP update daemon) Portmap Request 79.107.5.8 to 215.107.229.15 on interface GigabitEthernet0/4	 Not anomaly
Jun 11 2021 23:50:01 FW24 : %ASA-4-400020: IPS:2010 ICMP Information Reply 174.129.224.231 to 128.43.9.70 on interface GigabitEthernet0/0	 Not anomaly
Jun 11 2021 23:50:02 FW06 : %ASA-5-507001: Terminating TCP-Proxy connection from GigabitEthernet0/2:161.163.198.178/22327 to GigabitEthernet0/2:80.223.229.37/45114 - reassembly limit of 156000 bytes exceeded	 Not anomaly
Jun 11 2021 23:50:02 FW18 : %ASA-4-400012: IPS:2002 ICMP Source Quench 41.133.26.53 to 166.199.72.42 on interface GigabitEthernet0/3	 Not anomaly
Jun 11 2021 23:50:02 FW20 : %ASA-6-314004: RTSP client GigabitEthernet0/1: 108.28.229.169 accessed RTSP URL https://robertson.com/	 Not anomaly
Jun 11 2021 23:50:03 FW15 : %ASA-7-710002: UDP access permitted from 137.78.29.188/46265 to GigabitEthernet0/4:111.253.171.36/DNS	 Not anomaly
Jun 11 2021 23:50:03 FW14 : %ASA-3-304003: URL Server 222.50.91.51 timed out URL https://kim-ford.com/	 Not anomaly
Jun 11 2021 23:50:03 FW10 : %ASA-7-718021: Sent KEEPALIVE response to 55.37.71.98	 Not anomaly
Jun 11 2021 23:50:03 FW25 : %ASA-6-303002: FTP connection from GigabitEthernet0/4:14.197.60.148/17785 to GigabitEthernet0/0: 142.238.148.112/63767 , user user7 action file filename	 Anomaly
Jun 11 2021 23:50:04 FW02 : %ASA-4-716022: Unable to connect to proxy server.	 Not anomaly
Jun 11 2021 23:50:04 FW23 : %ASA-6-302033: Pre-allocated H323 GUP Connection for faddr GigabitEthernet0/2: 211.167.21.252/34702 to laddr GigabitEthernet0/2: 192.168.5.141/48968	 Not anomaly
Jun 11 2021 23:50:04 FW10 : %ASA-5-507001: Terminating TCP-Proxy connection from GigabitEthernet0/5:73.108.253.186/55192 to GigabitEthernet0/4:178.79.93.16/15237 - reassembly limit of 156000 bytes exceeded	 Not anomaly
Jun 11 2021 23:50:04 FW10 : %ASA-4-400000: IPS:1000 IP options-Bad Option List from 65.133.88.60 to 106.40.30.110 on interface GigabitEthernet0/3	 Not anomaly
Jun 11 2021 23:50:04 FW05 : %ASA-4-400049: IPS:6180 rexd (remote execution daemon) Attempt 173.190.74.170 to 91.223.180.22 on interface GigabitEthernet0/5	 Not anomaly
Jun 11 2021 23:50:05 FW19 : %ASA-3-318107: OSPF is enabled on GigabitEthernet0/4 during idb initialization	 Not anomaly
Jun 11 2021 23:50:05 FW02 : %ASA-4-400010: IPS:2000 ICMP Echo Reply 116.168.208.105 to 220.211.151.224 on interface GigabitEthernet0/3	 Anomaly
Jun 11 2021 23:50:05 FW11 : %ASA-6-109001: Auth start for user user3 from 192.168.13.214/19468 to 13.253.195.179/32121	 Not anomaly
Jun 11 2021 23:50:05 FW16 : %ASA-4-400020: IPS:2010 ICMP Information Reply 73.75.101.130 to 152.54.12.73 on interface GigabitEthernet0/3	 Not anomaly
Jun 11 2021 23:50:06 FW23 : %ASA-1-104500: (Secondary) Switching to ACTIVE (cause: reason)	 Anomaly
Jun 11 2021 23:50:06 FW22 : %ASA-5-502111: New group policy added: name: acl_int Type: internal	 Not anomaly
Jun 11 2021 23:50:06 FW00 : %ASA-5-713155: DNS lookup for Primary VPN Server vpn_concentrator successfully resolved after a previous failure. Resetting any Backup Server init.	 Not anomaly
Jun 11 2021 23:50:06 FW06 : %ASA-7-718021: Sent KEEPALIVE response to 161.178.137.166	 Not anomaly
Jun 11 2021 23:50:06 FW08 : %ASA-3-319001: Acknowledge for arp update for IP address 134.185.80.103 not received.	 Not anomaly
Jun 11 2021 23:50:06 FW01 : %ASA-5-718016: Received HELLO response from 20.134.27.133	 Not anomaly
Jun 11 2021 23:50:06 FW14 : %ASA-4-400012: IPS:2002 ICMP Source Quench 17.205.27.200 to 196.82.192.39 on interface GigabitEthernet0/5	 Not anomaly
